White balance coefficients

Seq = 000, n = tensor([0.8402]), red_gain = tensor([1.9184]), blue_gain = tensor([3.3249])
Seq = 057, n = tensor([0.8110]), red_gain = tensor([2.1576]), blue_gain = tensor([3.5022])
Seq = 058, n = tensor([0.9026]), red_gain = tensor([1.9843]), blue_gain = tensor([3.6815])
Seq = 059, n = tensor([0.7755]), red_gain = tensor([2.1713]), blue_gain = tensor([3.4065])
Seq = 060, n = tensor([0.9037]), red_gain = tensor([2.2580]), blue_gain = tensor([3.5481])
Seq = 061, n = tensor([0.9588]), red_gain = tensor([1.9976]), blue_gain = tensor([3.5882])
Seq = 062, n = tensor([0.8462]), red_gain = tensor([2.2474]), blue_gain = tensor([3.5398])
Seq = 063, n = tensor([0.6655]), red_gain = tensor([2.3303]), blue_gain = tensor([3.4143])
Seq = 064, n = tensor([0.8794]), red_gain = tensor([2.1167]), blue_gain = tensor([3.6464])
Seq = 065, n = tensor([0.8856]), red_gain = tensor([2.2821]), blue_gain = tensor([3.5866])
Seq = 066, n = tensor([0.9491]), red_gain = tensor([2.2903]), blue_gain = tensor([3.4367])
Seq = 067, n = tensor([0.7284]), red_gain = tensor([2.2636]), blue_gain = tensor([3.4173])
Seq = 068, n = tensor([0.6421]), red_gain = tensor([2.3558]), blue_gain = tensor([3.4012])
Seq = 069, n = tensor([0.8443]), red_gain = tensor([1.9196]), blue_gain = tensor([3.6837])
Seq = 070, n = tensor([0.6892]), red_gain = tensor([2.3670]), blue_gain = tensor([3.5974])
Seq = 071, n = tensor([0.8048]), red_gain = tensor([2.2610]), blue_gain = tensor([3.4487])
Seq = 072, n = tensor([0.8164]), red_gain = tensor([2.1143]), blue_gain = tensor([3.5429])
Seq = 073, n = tensor([0.8284]), red_gain = tensor([1.9670]), blue_gain = tensor([3.5702])
Seq = 074, n = tensor([0.8934]), red_gain = tensor([2.3578]), blue_gain = tensor([3.3528])
Seq = 075, n = tensor([0.8591]), red_gain = tensor([2.1683]), blue_gain = tensor([3.6551])
Seq = 076, n = tensor([0.6521]), red_gain = tensor([2.0141]), blue_gain = tensor([3.6211])
Seq = 077, n = tensor([0.9154]), red_gain = tensor([2.3343]), blue_gain = tensor([3.6681])
Seq = 078, n = tensor([0.7406]), red_gain = tensor([1.9755]), blue_gain = tensor([3.6160])
Seq = 079, n = tensor([0.8449]), red_gain = tensor([2.2905]), blue_gain = tensor([3.3221])
Seq = 080, n = tensor([0.8618]), red_gain = tensor([2.0551]), blue_gain = tensor([3.6333])
Seq = 081, n = tensor([0.8138]), red_gain = tensor([1.9501]), blue_gain = tensor([3.3868])
Seq = 082, n = tensor([0.7248]), red_gain = tensor([1.9339]), blue_gain = tensor([3.3506])
Seq = 083, n = tensor([0.8254]), red_gain = tensor([1.9820]), blue_gain = tensor([3.6844])
Seq = 084, n = tensor([0.7551]), red_gain = tensor([2.0824]), blue_gain = tensor([3.4943])
Seq = 085, n = tensor([0.8258]), red_gain = tensor([2.3372]), blue_gain = tensor([3.3170])
Seq = 086, n = tensor([0.8585]), red_gain = tensor([2.2901]), blue_gain = tensor([3.3222])
Seq = 087, n = tensor([0.7786]), red_gain = tensor([2.0061]), blue_gain = tensor([3.5804])
Seq = 088, n = tensor([0.8462]), red_gain = tensor([2.0113]), blue_gain = tensor([3.6514])
Seq = 089, n = tensor([0.7683]), red_gain = tensor([1.9955]), blue_gain = tensor([3.3404])
Seq = 090, n = tensor([0.7120]), red_gain = tensor([2.3729]), blue_gain = tensor([3.5544])
Seq = 091, n = tensor([0.8942]), red_gain = tensor([2.2448]), blue_gain = tensor([3.5297])
Seq = 092, n = tensor([0.7251]), red_gain = tensor([1.9654]), blue_gain = tensor([3.4450])
Seq = 093, n = tensor([0.7308]), red_gain = tensor([1.9827]), blue_gain = tensor([3.5863])
Seq = 094, n = tensor([0.7250]), red_gain = tensor([2.0662]), blue_gain = tensor([3.6917])
Seq = 095, n = tensor([0.8281]), red_gain = tensor([2.3848]), blue_gain = tensor([3.5533])
Seq = 096, n = tensor([0.6951]), red_gain = tensor([2.2288]), blue_gain = tensor([3.3235])
Seq = 097, n = tensor([0.9332]), red_gain = tensor([2.0149]), blue_gain = tensor([3.5038])
Seq = 098, n = tensor([0.7430]), red_gain = tensor([2.3439]), blue_gain = tensor([3.4429])
Seq = 099, n = tensor([0.7745]), red_gain = tensor([2.0492]), blue_gain = tensor([3.3795])
Seq = 100, n = tensor([0.8412]), red_gain = tensor([2.3112]), blue_gain = tensor([3.3995])
Seq = 101, n = tensor([0.9554]), red_gain = tensor([1.9961]), blue_gain = tensor([3.4824])
Seq = 102, n = tensor([0.9966]), red_gain = tensor([1.9984]), blue_gain = tensor([3.6713])
Seq = 103, n = tensor([0.8028]), red_gain = tensor([1.9324]), blue_gain = tensor([3.5760])
Seq = 104, n = tensor([0.8493]), red_gain = tensor([2.0213]), blue_gain = tensor([3.6483])
Seq = 105, n = tensor([0.8458]), red_gain = tensor([2.3420]), blue_gain = tensor([3.4876])
Seq = 106, n = tensor([0.6255]), red_gain = tensor([1.9462]), blue_gain = tensor([3.3490])
Seq = 107, n = tensor([0.6848]), red_gain = tensor([2.1337]), blue_gain = tensor([3.5876])
Seq = 108, n = tensor([0.8254]), red_gain = tensor([2.1344]), blue_gain = tensor([3.4485])
Seq = 109, n = tensor([0.8914]), red_gain = tensor([2.3777]), blue_gain = tensor([3.3098])
Seq = 110, n = tensor([0.7751]), red_gain = tensor([2.3444]), blue_gain = tensor([3.6958])
Seq = 111, n = tensor([0.8903]), red_gain = tensor([1.9035]), blue_gain = tensor([3.3155])
Seq = 112, n = tensor([0.7565]), red_gain = tensor([2.3500]), blue_gain = tensor([3.5409])
Seq = 113, n = tensor([0.7345]), red_gain = tensor([2.3213]), blue_gain = tensor([3.4775])
Seq = 114, n = tensor([0.9336]), red_gain = tensor([2.3142]), blue_gain = tensor([3.3160])
Seq = 115, n = tensor([0.8359]), red_gain = tensor([1.9267]), blue_gain = tensor([3.5397])
Seq = 116, n = tensor([0.9554]), red_gain = tensor([2.1866]), blue_gain = tensor([3.4656])
Seq = 117, n = tensor([0.6444]), red_gain = tensor([1.9253]), blue_gain = tensor([3.5212])
Seq = 118, n = tensor([0.7881]), red_gain = tensor([1.9548]), blue_gain = tensor([3.4244])
Seq = 119, n = tensor([0.7360]), red_gain = tensor([2.2343]), blue_gain = tensor([3.5052])
Seq = 120, n = tensor([0.8506]), red_gain = tensor([2.1285]), blue_gain = tensor([3.3265])
Seq = 121, n = tensor([0.8428]), red_gain = tensor([2.3154]), blue_gain = tensor([3.5714])
Seq = 122, n = tensor([0.7117]), red_gain = tensor([1.9134]), blue_gain = tensor([3.6293])
Seq = 123, n = tensor([0.7142]), red_gain = tensor([2.0518]), blue_gain = tensor([3.3211])
Seq = 124, n = tensor([0.8100]), red_gain = tensor([2.0548]), blue_gain = tensor([3.6729])
Seq = 125, n = tensor([0.8264]), red_gain = tensor([2.3048]), blue_gain = tensor([3.6308])
Seq = 126, n = tensor([0.9185]), red_gain = tensor([2.0658]), blue_gain = tensor([3.3848])
Seq = 127, n = tensor([0.8853]), red_gain = tensor([2.2780]), blue_gain = tensor([3.6748])
Seq = 128, n = tensor([0.8359]), red_gain = tensor([2.3991]), blue_gain = tensor([3.3525])
Seq = 129, n = tensor([0.6875]), red_gain = tensor([2.0620]), blue_gain = tensor([3.3459])
Seq = 130, n = tensor([0.8483]), red_gain = tensor([2.3299]), blue_gain = tensor([3.3178])
Seq = 131, n = tensor([0.7773]), red_gain = tensor([2.3115]), blue_gain = tensor([3.4906])
Seq = 132, n = tensor([0.9133]), red_gain = tensor([2.3461]), blue_gain = tensor([3.6618])
Seq = 133, n = tensor([0.6826]), red_gain = tensor([2.3685]), blue_gain = tensor([3.6809])
Seq = 134, n = tensor([0.9428]), red_gain = tensor([2.0351]), blue_gain = tensor([3.4151])
Seq = 135, n = tensor([0.7949]), red_gain = tensor([2.1071]), blue_gain = tensor([3.5522])
Seq = 136, n = tensor([0.8782]), red_gain = tensor([2.1540]), blue_gain = tensor([3.5580])
Seq = 137, n = tensor([0.8857]), red_gain = tensor([2.2871]), blue_gain = tensor([3.4875])
Seq = 138, n = tensor([0.7497]), red_gain = tensor([2.3140]), blue_gain = tensor([3.3726])
Seq = 139, n = tensor([0.8788]), red_gain = tensor([2.0706]), blue_gain = tensor([3.6628])
Seq = 140, n = tensor([0.9479]), red_gain = tensor([2.2638]), blue_gain = tensor([3.6302])
Seq = 141, n = tensor([0.9082]), red_gain = tensor([1.9302]), blue_gain = tensor([3.6182])
Seq = 142, n = tensor([0.7354]), red_gain = tensor([2.2262]), blue_gain = tensor([3.3451])
Seq = 143, n = tensor([0.9874]), red_gain = tensor([2.3928]), blue_gain = tensor([3.3564])
Seq = 144, n = tensor([0.6390]), red_gain = tensor([2.1501]), blue_gain = tensor([3.3192])
Seq = 145, n = tensor([0.8784]), red_gain = tensor([1.9844]), blue_gain = tensor([3.6456])
Seq = 146, n = tensor([0.7728]), red_gain = tensor([2.0123]), blue_gain = tensor([3.5586])
Seq = 147, n = tensor([0.6786]), red_gain = tensor([1.9805]), blue_gain = tensor([3.3145])
Seq = 148, n = tensor([0.7312]), red_gain = tensor([1.9514]), blue_gain = tensor([3.4161])
Seq = 149, n = tensor([0.7899]), red_gain = tensor([2.2497]), blue_gain = tensor([3.5556])
Seq = 150, n = tensor([0.7575]), red_gain = tensor([2.2843]), blue_gain = tensor([3.6245])
Seq = 151, n = tensor([0.9343]), red_gain = tensor([1.9852]), blue_gain = tensor([3.4349])
Seq = 152, n = tensor([0.9070]), red_gain = tensor([1.9146]), blue_gain = tensor([3.5189])
Seq = 153, n = tensor([0.7110]), red_gain = tensor([2.2482]), blue_gain = tensor([3.4532])
Seq = 154, n = tensor([0.5829]), red_gain = tensor([1.9920]), blue_gain = tensor([3.3664])
Seq = 155, n = tensor([0.8375]), red_gain = tensor([2.0599]), blue_gain = tensor([3.4465])
Seq = 156, n = tensor([0.7473]), red_gain = tensor([2.0765]), blue_gain = tensor([3.3623])
Seq = 157, n = tensor([0.7274]), red_gain = tensor([2.2360]), blue_gain = tensor([3.3129])
Seq = 158, n = tensor([0.7127]), red_gain = tensor([2.0287]), blue_gain = tensor([3.6215])
Seq = 159, n = tensor([0.6064]), red_gain = tensor([1.9249]), blue_gain = tensor([3.6746])
Seq = 160, n = tensor([0.6887]), red_gain = tensor([2.3522]), blue_gain = tensor([3.4686])
Seq = 161, n = tensor([0.7591]), red_gain = tensor([2.2751]), blue_gain = tensor([3.5438])
Seq = 162, n = tensor([0.8944]), red_gain = tensor([2.1692]), blue_gain = tensor([3.6626])
Seq = 163, n = tensor([0.9782]), red_gain = tensor([2.0717]), blue_gain = tensor([3.5391])
Seq = 164, n = tensor([0.8970]), red_gain = tensor([2.0340]), blue_gain = tensor([3.5936])
Seq = 165, n = tensor([0.8334]), red_gain = tensor([2.0074]), blue_gain = tensor([3.4236])
Seq = 166, n = tensor([0.8692]), red_gain = tensor([2.0962]), blue_gain = tensor([3.4274])
Seq = 167, n = tensor([0.7470]), red_gain = tensor([1.9047]), blue_gain = tensor([3.6512])
Seq = 168, n = tensor([0.9310]), red_gain = tensor([2.2167]), blue_gain = tensor([3.6214])
Seq = 169, n = tensor([0.7642]), red_gain = tensor([2.2908]), blue_gain = tensor([3.4557])
Seq = 170, n = tensor([0.8405]), red_gain = tensor([2.1760]), blue_gain = tensor([3.5388])
Seq = 171, n = tensor([0.8321]), red_gain = tensor([1.9271]), blue_gain = tensor([3.5309])
Seq = 172, n = tensor([0.8685]), red_gain = tensor([2.3514]), blue_gain = tensor([3.4397])
Seq = 173, n = tensor([0.8612]), red_gain = tensor([2.0930]), blue_gain = tensor([3.6765])
Seq = 174, n = tensor([0.7076]), red_gain = tensor([2.1983]), blue_gain = tensor([3.4780])
Seq = 175, n = tensor([0.8074]), red_gain = tensor([2.0197]), blue_gain = tensor([3.4629])
Seq = 176, n = tensor([0.8406]), red_gain = tensor([2.1325]), blue_gain = tensor([3.5577])
Seq = 177, n = tensor([0.7802]), red_gain = tensor([2.2197]), blue_gain = tensor([3.5530])
Seq = 178, n = tensor([0.9001]), red_gain = tensor([2.0573]), blue_gain = tensor([3.6399])
Seq = 179, n = tensor([0.9379]), red_gain = tensor([2.1529]), blue_gain = tensor([3.5805])
Seq = 180, n = tensor([0.8660]), red_gain = tensor([2.0407]), blue_gain = tensor([3.3202])
Seq = 181, n = tensor([0.7899]), red_gain = tensor([2.1312]), blue_gain = tensor([3.3217])
Seq = 182, n = tensor([0.8720]), red_gain = tensor([2.0881]), blue_gain = tensor([3.6918])
Seq = 183, n = tensor([0.9022]), red_gain = tensor([2.0221]), blue_gain = tensor([3.3801])
Seq = 184, n = tensor([0.8597]), red_gain = tensor([2.0496]), blue_gain = tensor([3.4888])
Seq = 185, n = tensor([0.8630]), red_gain = tensor([2.3684]), blue_gain = tensor([3.3401])
Seq = 186, n = tensor([0.7820]), red_gain = tensor([2.2211]), blue_gain = tensor([3.4325])
Seq = 187, n = tensor([0.6347]), red_gain = tensor([2.0393]), blue_gain = tensor([3.3383])
Seq = 188, n = tensor([0.7440]), red_gain = tensor([2.0500]), blue_gain = tensor([3.6903])
Seq = 189, n = tensor([0.8980]), red_gain = tensor([2.2805]), blue_gain = tensor([3.4055])
Seq = 190, n = tensor([0.8200]), red_gain = tensor([2.3230]), blue_gain = tensor([3.4883])
Seq = 191, n = tensor([0.7621]), red_gain = tensor([2.0744]), blue_gain = tensor([3.3524])
Seq = 192, n = tensor([0.8035]), red_gain = tensor([2.0381]), blue_gain = tensor([3.6775])
Seq = 193, n = tensor([0.8227]), red_gain = tensor([2.1532]), blue_gain = tensor([3.4112])
Seq = 194, n = tensor([0.8883]), red_gain = tensor([1.9265]), blue_gain = tensor([3.5287])
Seq = 195, n = tensor([0.9922]), red_gain = tensor([2.1753]), blue_gain = tensor([3.5747])
Seq = 196, n = tensor([0.7248]), red_gain = tensor([2.0046]), blue_gain = tensor([3.4140])
Seq = 197, n = tensor([0.8157]), red_gain = tensor([2.0068]), blue_gain = tensor([3.4669])
Seq = 198, n = tensor([0.8073]), red_gain = tensor([2.3069]), blue_gain = tensor([3.6314])
Seq = 199, n = tensor([0.8794]), red_gain = tensor([2.0647]), blue_gain = tensor([3.3939])
Seq = 200, n = tensor([0.8574]), red_gain = tensor([1.9492]), blue_gain = tensor([3.4147])
Seq = 201, n = tensor([0.7977]), red_gain = tensor([2.1114]), blue_gain = tensor([3.6390])
Seq = 202, n = tensor([0.7863]), red_gain = tensor([2.0223]), blue_gain = tensor([3.5838])
Seq = 203, n = tensor([0.7660]), red_gain = tensor([2.1940]), blue_gain = tensor([3.5751])
Seq = 204, n = tensor([0.8118]), red_gain = tensor([1.9558]), blue_gain = tensor([3.3401])
Seq = 205, n = tensor([0.7477]), red_gain = tensor([1.9896]), blue_gain = tensor([3.5396])
Seq = 206, n = tensor([0.8075]), red_gain = tensor([1.9614]), blue_gain = tensor([3.5090])
Seq = 207, n = tensor([0.8505]), red_gain = tensor([1.9911]), blue_gain = tensor([3.5437])
Seq = 208, n = tensor([0.8418]), red_gain = tensor([2.2259]), blue_gain = tensor([3.3749])
Seq = 209, n = tensor([0.7388]), red_gain = tensor([2.0942]), blue_gain = tensor([3.5864])
Seq = 210, n = tensor([0.9388]), red_gain = tensor([1.9885]), blue_gain = tensor([3.3416])
Seq = 211, n = tensor([0.8804]), red_gain = tensor([2.1427]), blue_gain = tensor([3.6241])
Seq = 212, n = tensor([0.7706]), red_gain = tensor([2.2002]), blue_gain = tensor([3.3606])
Seq = 213, n = tensor([0.5877]), red_gain = tensor([2.3297]), blue_gain = tensor([3.3725])
Seq = 214, n = tensor([0.8561]), red_gain = tensor([2.1655]), blue_gain = tensor([3.3005])
Seq = 215, n = tensor([0.6790]), red_gain = tensor([2.1172]), blue_gain = tensor([3.3930])
Seq = 216, n = tensor([0.7653]), red_gain = tensor([2.0507]), blue_gain = tensor([3.5734])
Seq = 217, n = tensor([0.8598]), red_gain = tensor([2.2907]), blue_gain = tensor([3.4707])
Seq = 218, n = tensor([0.7867]), red_gain = tensor([2.1917]), blue_gain = tensor([3.3596])
Seq = 219, n = tensor([0.8026]), red_gain = tensor([2.3116]), blue_gain = tensor([3.6701])
Seq = 220, n = tensor([0.8885]), red_gain = tensor([2.1581]), blue_gain = tensor([3.4078])
Seq = 221, n = tensor([0.8874]), red_gain = tensor([2.2908]), blue_gain = tensor([3.6322])
Seq = 222, n = tensor([0.8248]), red_gain = tensor([2.3887]), blue_gain = tensor([3.5278])
Seq = 223, n = tensor([0.9465]), red_gain = tensor([2.1877]), blue_gain = tensor([3.6862])
Seq = 224, n = tensor([0.7042]), red_gain = tensor([2.0841]), blue_gain = tensor([3.3274])
Seq = 225, n = tensor([0.7599]), red_gain = tensor([2.1110]), blue_gain = tensor([3.6932])
Seq = 226, n = tensor([0.8118]), red_gain = tensor([2.0565]), blue_gain = tensor([3.3912])
Seq = 227, n = tensor([0.8915]), red_gain = tensor([2.3024]), blue_gain = tensor([3.5508])
Seq = 228, n = tensor([0.7756]), red_gain = tensor([2.2020]), blue_gain = tensor([3.5126])
Seq = 229, n = tensor([0.8182]), red_gain = tensor([2.0662]), blue_gain = tensor([3.3784])
Seq = 230, n = tensor([0.7902]), red_gain = tensor([2.0534]), blue_gain = tensor([3.6443])
Seq = 231, n = tensor([0.8035]), red_gain = tensor([1.9977]), blue_gain = tensor([3.5071])
Seq = 232, n = tensor([0.6868]), red_gain = tensor([2.1360]), blue_gain = tensor([3.5068])
Seq = 233, n = tensor([0.7289]), red_gain = tensor([2.3800]), blue_gain = tensor([3.3983])
Seq = 234, n = tensor([0.7580]), red_gain = tensor([2.1663]), blue_gain = tensor([3.6454])
Seq = 235, n = tensor([0.7477]), red_gain = tensor([2.2413]), blue_gain = tensor([3.5869])
Seq = 236, n = tensor([0.6778]), red_gain = tensor([2.3385]), blue_gain = tensor([3.6473])
Seq = 237, n = tensor([0.8497]), red_gain = tensor([2.1696]), blue_gain = tensor([3.6097])
Seq = 238, n = tensor([0.7589]), red_gain = tensor([2.0604]), blue_gain = tensor([3.6544])
Seq = 239, n = tensor([0.7834]), red_gain = tensor([2.2359]), blue_gain = tensor([3.4775])
