White balance coefficients

Seq = 000, n = tensor([0.8163]), red_gain = tensor([2.3223]), blue_gain = tensor([3.6655])
Seq = 051, n = tensor([0.7771]), red_gain = tensor([2.0179]), blue_gain = tensor([3.3455])
Seq = 052, n = tensor([0.8206]), red_gain = tensor([2.3638]), blue_gain = tensor([3.4067])
Seq = 053, n = tensor([0.8304]), red_gain = tensor([1.9805]), blue_gain = tensor([3.4384])
Seq = 054, n = tensor([0.7939]), red_gain = tensor([1.9091]), blue_gain = tensor([3.3221])
Seq = 055, n = tensor([0.7403]), red_gain = tensor([2.3597]), blue_gain = tensor([3.3973])
Seq = 056, n = tensor([0.9547]), red_gain = tensor([1.9957]), blue_gain = tensor([3.5742])
Seq = 057, n = tensor([0.8027]), red_gain = tensor([2.3923]), blue_gain = tensor([3.5770])
Seq = 058, n = tensor([0.7459]), red_gain = tensor([2.3143]), blue_gain = tensor([3.4316])
Seq = 059, n = tensor([0.8915]), red_gain = tensor([1.9754]), blue_gain = tensor([3.4907])
Seq = 060, n = tensor([0.8243]), red_gain = tensor([2.1469]), blue_gain = tensor([3.5987])
Seq = 061, n = tensor([0.7793]), red_gain = tensor([2.0707]), blue_gain = tensor([3.4180])
Seq = 062, n = tensor([0.8510]), red_gain = tensor([2.0260]), blue_gain = tensor([3.6643])
Seq = 063, n = tensor([0.7713]), red_gain = tensor([2.2884]), blue_gain = tensor([3.4526])
Seq = 064, n = tensor([0.7405]), red_gain = tensor([1.9488]), blue_gain = tensor([3.3705])
Seq = 065, n = tensor([0.8849]), red_gain = tensor([2.1682]), blue_gain = tensor([3.6622])
Seq = 066, n = tensor([0.6648]), red_gain = tensor([2.0337]), blue_gain = tensor([3.6131])
Seq = 067, n = tensor([0.9467]), red_gain = tensor([2.3021]), blue_gain = tensor([3.5035])
Seq = 068, n = tensor([0.7600]), red_gain = tensor([2.0526]), blue_gain = tensor([3.5928])
Seq = 069, n = tensor([0.5355]), red_gain = tensor([2.3840]), blue_gain = tensor([3.4958])
Seq = 070, n = tensor([0.7223]), red_gain = tensor([2.0815]), blue_gain = tensor([3.6319])
Seq = 071, n = tensor([0.9255]), red_gain = tensor([1.9006]), blue_gain = tensor([3.5836])
Seq = 072, n = tensor([0.9476]), red_gain = tensor([2.3722]), blue_gain = tensor([3.3487])
Seq = 073, n = tensor([0.8177]), red_gain = tensor([1.9195]), blue_gain = tensor([3.5884])
Seq = 074, n = tensor([0.7891]), red_gain = tensor([2.2487]), blue_gain = tensor([3.3744])
Seq = 075, n = tensor([0.9770]), red_gain = tensor([2.1546]), blue_gain = tensor([3.5886])
Seq = 076, n = tensor([0.8926]), red_gain = tensor([2.0013]), blue_gain = tensor([3.4366])
Seq = 077, n = tensor([0.9686]), red_gain = tensor([2.3923]), blue_gain = tensor([3.3924])
Seq = 078, n = tensor([0.8128]), red_gain = tensor([2.0613]), blue_gain = tensor([3.4325])
Seq = 079, n = tensor([0.7823]), red_gain = tensor([2.2036]), blue_gain = tensor([3.6905])
Seq = 080, n = tensor([0.8048]), red_gain = tensor([2.0429]), blue_gain = tensor([3.3849])
Seq = 081, n = tensor([0.6912]), red_gain = tensor([2.3548]), blue_gain = tensor([3.6049])
Seq = 082, n = tensor([0.8392]), red_gain = tensor([1.9184]), blue_gain = tensor([3.3997])
Seq = 083, n = tensor([0.8856]), red_gain = tensor([2.3797]), blue_gain = tensor([3.3495])
Seq = 084, n = tensor([0.6766]), red_gain = tensor([2.3627]), blue_gain = tensor([3.3972])
Seq = 085, n = tensor([0.8169]), red_gain = tensor([2.1109]), blue_gain = tensor([3.4333])
Seq = 086, n = tensor([0.8679]), red_gain = tensor([2.3821]), blue_gain = tensor([3.6103])
Seq = 087, n = tensor([0.9018]), red_gain = tensor([2.0308]), blue_gain = tensor([3.4261])
Seq = 088, n = tensor([0.7496]), red_gain = tensor([2.0692]), blue_gain = tensor([3.6510])
Seq = 089, n = tensor([0.8885]), red_gain = tensor([2.2319]), blue_gain = tensor([3.5769])
Seq = 090, n = tensor([0.8126]), red_gain = tensor([2.3892]), blue_gain = tensor([3.5908])
Seq = 091, n = tensor([0.8112]), red_gain = tensor([2.1957]), blue_gain = tensor([3.3465])
Seq = 092, n = tensor([0.8443]), red_gain = tensor([1.9266]), blue_gain = tensor([3.3003])
Seq = 093, n = tensor([0.8574]), red_gain = tensor([1.9903]), blue_gain = tensor([3.5622])
Seq = 094, n = tensor([0.7920]), red_gain = tensor([2.3351]), blue_gain = tensor([3.6971])
Seq = 095, n = tensor([0.7717]), red_gain = tensor([2.3368]), blue_gain = tensor([3.6055])
Seq = 096, n = tensor([0.8348]), red_gain = tensor([2.2877]), blue_gain = tensor([3.5807])
Seq = 097, n = tensor([0.8367]), red_gain = tensor([2.1477]), blue_gain = tensor([3.4928])
Seq = 098, n = tensor([0.8326]), red_gain = tensor([2.3761]), blue_gain = tensor([3.6175])
Seq = 099, n = tensor([0.7937]), red_gain = tensor([2.1267]), blue_gain = tensor([3.4715])
Seq = 100, n = tensor([0.7986]), red_gain = tensor([2.1378]), blue_gain = tensor([3.3079])
Seq = 101, n = tensor([0.7839]), red_gain = tensor([2.2913]), blue_gain = tensor([3.3501])
Seq = 102, n = tensor([0.6893]), red_gain = tensor([2.0393]), blue_gain = tensor([3.4044])
Seq = 103, n = tensor([0.9172]), red_gain = tensor([2.1551]), blue_gain = tensor([3.5301])
Seq = 104, n = tensor([0.8550]), red_gain = tensor([2.3076]), blue_gain = tensor([3.4940])
Seq = 105, n = tensor([0.8338]), red_gain = tensor([2.0216]), blue_gain = tensor([3.6050])
Seq = 106, n = tensor([0.7408]), red_gain = tensor([2.3183]), blue_gain = tensor([3.6891])
Seq = 107, n = tensor([0.8585]), red_gain = tensor([1.9726]), blue_gain = tensor([3.4907])
Seq = 108, n = tensor([0.7821]), red_gain = tensor([2.3909]), blue_gain = tensor([3.3434])
Seq = 109, n = tensor([0.8309]), red_gain = tensor([2.1817]), blue_gain = tensor([3.3994])
Seq = 110, n = tensor([0.9020]), red_gain = tensor([1.9642]), blue_gain = tensor([3.5239])
Seq = 111, n = tensor([0.9128]), red_gain = tensor([2.1581]), blue_gain = tensor([3.6936])
Seq = 112, n = tensor([0.9177]), red_gain = tensor([2.2816]), blue_gain = tensor([3.4807])
Seq = 113, n = tensor([0.9031]), red_gain = tensor([2.3292]), blue_gain = tensor([3.5786])
Seq = 114, n = tensor([0.8355]), red_gain = tensor([1.9728]), blue_gain = tensor([3.5219])
Seq = 115, n = tensor([0.6906]), red_gain = tensor([1.9931]), blue_gain = tensor([3.3423])
Seq = 116, n = tensor([0.8875]), red_gain = tensor([2.0802]), blue_gain = tensor([3.6291])
Seq = 117, n = tensor([0.8257]), red_gain = tensor([2.1656]), blue_gain = tensor([3.6623])
Seq = 118, n = tensor([0.8610]), red_gain = tensor([2.0855]), blue_gain = tensor([3.3013])
Seq = 119, n = tensor([0.8241]), red_gain = tensor([2.2095]), blue_gain = tensor([3.6274])
Seq = 120, n = tensor([0.7369]), red_gain = tensor([2.1233]), blue_gain = tensor([3.4504])
Seq = 121, n = tensor([0.8320]), red_gain = tensor([2.2990]), blue_gain = tensor([3.3125])
Seq = 122, n = tensor([0.7941]), red_gain = tensor([2.1613]), blue_gain = tensor([3.5629])
Seq = 123, n = tensor([0.7824]), red_gain = tensor([1.9959]), blue_gain = tensor([3.6738])
Seq = 124, n = tensor([0.7552]), red_gain = tensor([2.0088]), blue_gain = tensor([3.5076])
Seq = 125, n = tensor([0.6898]), red_gain = tensor([2.0874]), blue_gain = tensor([3.5775])
Seq = 126, n = tensor([0.8686]), red_gain = tensor([2.1416]), blue_gain = tensor([3.5894])
Seq = 127, n = tensor([0.8247]), red_gain = tensor([2.3475]), blue_gain = tensor([3.6906])
Seq = 128, n = tensor([0.9357]), red_gain = tensor([2.1402]), blue_gain = tensor([3.6657])
Seq = 129, n = tensor([0.9113]), red_gain = tensor([1.9853]), blue_gain = tensor([3.5483])
Seq = 130, n = tensor([0.8554]), red_gain = tensor([1.9585]), blue_gain = tensor([3.5523])
Seq = 131, n = tensor([0.8598]), red_gain = tensor([2.3233]), blue_gain = tensor([3.5776])
Seq = 132, n = tensor([0.8980]), red_gain = tensor([2.0203]), blue_gain = tensor([3.6401])
Seq = 133, n = tensor([0.8046]), red_gain = tensor([1.9561]), blue_gain = tensor([3.3163])
Seq = 134, n = tensor([0.7469]), red_gain = tensor([2.1999]), blue_gain = tensor([3.6128])
Seq = 135, n = tensor([0.8444]), red_gain = tensor([2.1359]), blue_gain = tensor([3.5010])
Seq = 136, n = tensor([0.7893]), red_gain = tensor([2.2820]), blue_gain = tensor([3.5420])
Seq = 137, n = tensor([0.8142]), red_gain = tensor([2.1778]), blue_gain = tensor([3.6957])
Seq = 138, n = tensor([0.8780]), red_gain = tensor([1.9008]), blue_gain = tensor([3.6115])
Seq = 139, n = tensor([0.8970]), red_gain = tensor([2.3199]), blue_gain = tensor([3.4833])
Seq = 140, n = tensor([0.7836]), red_gain = tensor([1.9213]), blue_gain = tensor([3.4448])
Seq = 141, n = tensor([0.7835]), red_gain = tensor([2.1330]), blue_gain = tensor([3.6354])
Seq = 142, n = tensor([0.7630]), red_gain = tensor([2.2127]), blue_gain = tensor([3.6125])
Seq = 143, n = tensor([0.8089]), red_gain = tensor([2.0277]), blue_gain = tensor([3.3373])
Seq = 144, n = tensor([0.7792]), red_gain = tensor([2.1706]), blue_gain = tensor([3.4573])
Seq = 145, n = tensor([0.9101]), red_gain = tensor([2.2077]), blue_gain = tensor([3.6899])
Seq = 146, n = tensor([0.7694]), red_gain = tensor([2.0506]), blue_gain = tensor([3.3644])
Seq = 147, n = tensor([0.7848]), red_gain = tensor([2.0998]), blue_gain = tensor([3.5995])
Seq = 148, n = tensor([0.7841]), red_gain = tensor([1.9490]), blue_gain = tensor([3.6055])
Seq = 149, n = tensor([0.8819]), red_gain = tensor([2.2404]), blue_gain = tensor([3.3044])
Seq = 150, n = tensor([0.8098]), red_gain = tensor([1.9472]), blue_gain = tensor([3.5185])
Seq = 151, n = tensor([0.9151]), red_gain = tensor([2.1926]), blue_gain = tensor([3.4190])
Seq = 152, n = tensor([0.8782]), red_gain = tensor([2.2178]), blue_gain = tensor([3.4948])
Seq = 153, n = tensor([0.7543]), red_gain = tensor([2.0217]), blue_gain = tensor([3.6119])
Seq = 154, n = tensor([0.8774]), red_gain = tensor([1.9699]), blue_gain = tensor([3.6503])
Seq = 155, n = tensor([0.9358]), red_gain = tensor([2.1980]), blue_gain = tensor([3.4066])
Seq = 156, n = tensor([0.7865]), red_gain = tensor([2.2438]), blue_gain = tensor([3.3192])
Seq = 157, n = tensor([0.8625]), red_gain = tensor([2.2407]), blue_gain = tensor([3.5192])
Seq = 158, n = tensor([0.7854]), red_gain = tensor([2.3717]), blue_gain = tensor([3.4079])
Seq = 159, n = tensor([0.7347]), red_gain = tensor([2.2987]), blue_gain = tensor([3.4802])
Seq = 160, n = tensor([0.9467]), red_gain = tensor([2.2849]), blue_gain = tensor([3.5412])
Seq = 161, n = tensor([0.7127]), red_gain = tensor([2.3833]), blue_gain = tensor([3.4121])
Seq = 162, n = tensor([0.8089]), red_gain = tensor([2.1092]), blue_gain = tensor([3.3784])
Seq = 163, n = tensor([0.7984]), red_gain = tensor([2.1793]), blue_gain = tensor([3.4441])
Seq = 164, n = tensor([0.8518]), red_gain = tensor([1.9654]), blue_gain = tensor([3.3867])
Seq = 165, n = tensor([0.9597]), red_gain = tensor([2.3866]), blue_gain = tensor([3.4229])
Seq = 166, n = tensor([0.7908]), red_gain = tensor([2.1259]), blue_gain = tensor([3.6044])
Seq = 167, n = tensor([0.7798]), red_gain = tensor([2.1103]), blue_gain = tensor([3.3218])
Seq = 168, n = tensor([0.7046]), red_gain = tensor([2.0213]), blue_gain = tensor([3.4773])
Seq = 169, n = tensor([0.9038]), red_gain = tensor([1.9362]), blue_gain = tensor([3.6973])
Seq = 170, n = tensor([0.8369]), red_gain = tensor([2.0204]), blue_gain = tensor([3.6007])
Seq = 171, n = tensor([0.8110]), red_gain = tensor([2.3287]), blue_gain = tensor([3.5839])
Seq = 172, n = tensor([0.8880]), red_gain = tensor([2.0379]), blue_gain = tensor([3.5171])
Seq = 173, n = tensor([0.8144]), red_gain = tensor([2.2341]), blue_gain = tensor([3.3604])
Seq = 174, n = tensor([0.8274]), red_gain = tensor([2.2519]), blue_gain = tensor([3.5026])
Seq = 175, n = tensor([0.7859]), red_gain = tensor([2.1142]), blue_gain = tensor([3.6381])
Seq = 176, n = tensor([0.8389]), red_gain = tensor([2.1917]), blue_gain = tensor([3.3914])
Seq = 177, n = tensor([0.6753]), red_gain = tensor([1.9520]), blue_gain = tensor([3.5892])
Seq = 178, n = tensor([0.7935]), red_gain = tensor([1.9421]), blue_gain = tensor([3.3371])
Seq = 179, n = tensor([0.9446]), red_gain = tensor([2.2753]), blue_gain = tensor([3.4515])
Seq = 180, n = tensor([0.7466]), red_gain = tensor([2.0577]), blue_gain = tensor([3.6499])
Seq = 181, n = tensor([0.8420]), red_gain = tensor([2.2008]), blue_gain = tensor([3.6256])
Seq = 182, n = tensor([0.9541]), red_gain = tensor([2.2875]), blue_gain = tensor([3.3942])
Seq = 183, n = tensor([0.9307]), red_gain = tensor([2.1125]), blue_gain = tensor([3.6261])
Seq = 184, n = tensor([0.8714]), red_gain = tensor([2.3776]), blue_gain = tensor([3.4978])
Seq = 185, n = tensor([0.7770]), red_gain = tensor([1.9016]), blue_gain = tensor([3.5077])
Seq = 186, n = tensor([0.7319]), red_gain = tensor([2.1678]), blue_gain = tensor([3.4074])
Seq = 187, n = tensor([0.7207]), red_gain = tensor([2.1454]), blue_gain = tensor([3.6973])
Seq = 188, n = tensor([0.9149]), red_gain = tensor([2.1815]), blue_gain = tensor([3.6567])
Seq = 189, n = tensor([0.7744]), red_gain = tensor([1.9707]), blue_gain = tensor([3.5504])
Seq = 190, n = tensor([0.8537]), red_gain = tensor([2.2388]), blue_gain = tensor([3.6035])
Seq = 191, n = tensor([0.8161]), red_gain = tensor([2.3435]), blue_gain = tensor([3.4606])
Seq = 192, n = tensor([0.9218]), red_gain = tensor([2.2757]), blue_gain = tensor([3.4260])
Seq = 193, n = tensor([0.6351]), red_gain = tensor([2.3809]), blue_gain = tensor([3.3294])
Seq = 194, n = tensor([0.7237]), red_gain = tensor([2.2366]), blue_gain = tensor([3.3005])
Seq = 195, n = tensor([0.7337]), red_gain = tensor([1.9468]), blue_gain = tensor([3.4365])
Seq = 196, n = tensor([0.6848]), red_gain = tensor([1.9814]), blue_gain = tensor([3.4109])
Seq = 197, n = tensor([0.8110]), red_gain = tensor([2.1927]), blue_gain = tensor([3.5117])
Seq = 198, n = tensor([0.8790]), red_gain = tensor([2.1132]), blue_gain = tensor([3.5521])
Seq = 199, n = tensor([0.8493]), red_gain = tensor([2.0027]), blue_gain = tensor([3.5756])
Seq = 200, n = tensor([0.6941]), red_gain = tensor([1.9620]), blue_gain = tensor([3.5006])
Seq = 201, n = tensor([0.8526]), red_gain = tensor([2.0447]), blue_gain = tensor([3.5193])
Seq = 202, n = tensor([0.7351]), red_gain = tensor([2.0326]), blue_gain = tensor([3.5973])
Seq = 203, n = tensor([0.7253]), red_gain = tensor([2.1651]), blue_gain = tensor([3.4107])
Seq = 204, n = tensor([0.8058]), red_gain = tensor([2.0990]), blue_gain = tensor([3.3323])
Seq = 205, n = tensor([0.8031]), red_gain = tensor([2.3880]), blue_gain = tensor([3.6706])
Seq = 206, n = tensor([0.8823]), red_gain = tensor([2.1767]), blue_gain = tensor([3.6964])
Seq = 207, n = tensor([0.7342]), red_gain = tensor([2.1035]), blue_gain = tensor([3.4273])
Seq = 208, n = tensor([0.8025]), red_gain = tensor([2.3252]), blue_gain = tensor([3.3452])
Seq = 209, n = tensor([0.7387]), red_gain = tensor([2.0777]), blue_gain = tensor([3.3925])
Seq = 210, n = tensor([0.7479]), red_gain = tensor([2.3385]), blue_gain = tensor([3.3748])
Seq = 211, n = tensor([0.8997]), red_gain = tensor([2.2386]), blue_gain = tensor([3.5609])
Seq = 212, n = tensor([0.7319]), red_gain = tensor([2.3371]), blue_gain = tensor([3.5683])
Seq = 213, n = tensor([0.7887]), red_gain = tensor([2.0913]), blue_gain = tensor([3.4585])
Seq = 214, n = tensor([0.9294]), red_gain = tensor([2.0637]), blue_gain = tensor([3.3879])
Seq = 215, n = tensor([0.8238]), red_gain = tensor([1.9787]), blue_gain = tensor([3.3379])
Seq = 216, n = tensor([0.7168]), red_gain = tensor([2.1102]), blue_gain = tensor([3.6640])
Seq = 217, n = tensor([0.8573]), red_gain = tensor([2.2184]), blue_gain = tensor([3.3529])
Seq = 218, n = tensor([0.7964]), red_gain = tensor([2.3298]), blue_gain = tensor([3.5007])
Seq = 219, n = tensor([0.6230]), red_gain = tensor([2.2703]), blue_gain = tensor([3.6786])
Seq = 220, n = tensor([0.8828]), red_gain = tensor([2.1416]), blue_gain = tensor([3.4696])
Seq = 221, n = tensor([0.9099]), red_gain = tensor([2.2098]), blue_gain = tensor([3.6646])
Seq = 222, n = tensor([0.8036]), red_gain = tensor([2.1353]), blue_gain = tensor([3.6102])
Seq = 223, n = tensor([0.8968]), red_gain = tensor([2.0266]), blue_gain = tensor([3.6940])
Seq = 224, n = tensor([0.5673]), red_gain = tensor([2.3895]), blue_gain = tensor([3.5322])
Seq = 225, n = tensor([0.9671]), red_gain = tensor([1.9345]), blue_gain = tensor([3.4313])
Seq = 226, n = tensor([0.8462]), red_gain = tensor([2.1909]), blue_gain = tensor([3.3472])
Seq = 227, n = tensor([0.8532]), red_gain = tensor([2.3074]), blue_gain = tensor([3.6927])
Seq = 228, n = tensor([0.7460]), red_gain = tensor([2.3217]), blue_gain = tensor([3.4667])
Seq = 229, n = tensor([0.5444]), red_gain = tensor([2.2402]), blue_gain = tensor([3.6772])
Seq = 230, n = tensor([0.8336]), red_gain = tensor([1.9584]), blue_gain = tensor([3.6708])
Seq = 231, n = tensor([0.6374]), red_gain = tensor([2.3416]), blue_gain = tensor([3.3748])
Seq = 232, n = tensor([0.8902]), red_gain = tensor([2.3151]), blue_gain = tensor([3.4314])
Seq = 233, n = tensor([0.8547]), red_gain = tensor([2.3840]), blue_gain = tensor([3.4398])
Seq = 234, n = tensor([0.8243]), red_gain = tensor([2.3545]), blue_gain = tensor([3.3704])
Seq = 235, n = tensor([0.8196]), red_gain = tensor([2.0901]), blue_gain = tensor([3.6085])
Seq = 236, n = tensor([0.8442]), red_gain = tensor([2.3007]), blue_gain = tensor([3.5371])
Seq = 237, n = tensor([0.7984]), red_gain = tensor([2.2738]), blue_gain = tensor([3.3314])
Seq = 238, n = tensor([0.6876]), red_gain = tensor([1.9193]), blue_gain = tensor([3.3573])
Seq = 239, n = tensor([0.8849]), red_gain = tensor([2.2819]), blue_gain = tensor([3.4721])
